dir,u,v
u,\vscale_0.pipeline.csr.mtie,4215290870
d,4215290870,$flatten\vscale_0.\pipeline.\csr.$logic_and$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:120$262_Y
u,$flatten\vscale_0.\pipeline.\csr.$logic_not$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:104$255_Y,2537968559
u,\vscale_0.pipeline.ctrl.csr_cmd [2],2537968559
d,2537968559,$flatten\vscale_0.\pipeline.\csr.$logic_and$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:104$256_Y
u,$flatten\vscale_0.\pipeline.\csr.$gt$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:102$252_Y,2987577277
u,\vscale_0.pipeline.ctrl.csr_cmd [2],2987577277
d,2987577277,$flatten\vscale_0.\pipeline.\csr.$logic_and$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:102$253_Y
u,$flatten\vscale_0.\pipeline.\csr.$eq$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:101$250_Y,4113515168
u,$flatten\vscale_0.\pipeline.\csr.$logic_or$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:98$248_Y,4113515168
d,4113515168,$flatten\vscale_0.\pipeline.\csr.$logic_and$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:101$251_Y
u,\vscale_0.pipeline.csr.priv_stack [2:1],773866990
u,\vscale_0.pipeline.inst_DX [31:20],773866990
d,773866990,$flatten\vscale_0.\pipeline.\csr.$gt$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:102$252_Y
u,\vscale_0.pipeline.csr.htif_state,2946442682
d,2946442682,$flatten\vscale_0.\pipeline.\csr.$eq$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:96$245_Y
d,3675665458,$flatten\vscale_0.\pipeline.\csr.$eq$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_csr_file.v:347$307_Y
u,\vscale_0.pipeline.inst_DX [31:20],3467940974
